iter	Passed	Remaining
0	3	336
1	6	326
2	10	343
3	14	344
4	19	361
5	22	350
6	24	331
7	27	318
8	30	310
9	35	316
10	37	300
11	40	295
12	43	287
13	48	300
14	53	303
15	60	318
16	66	326
17	69	316
18	72	306
19	73	295
20	77	293
21	81	287
22	83	280
23	86	275
24	90	270
25	93	265
26	95	259
27	98	253
28	102	250
29	106	247
30	108	241
31	111	237
32	113	231
33	116	226
34	120	223
35	123	219
36	126	214
37	129	211
38	132	206
39	134	201
40	137	198
41	138	191
42	141	187
43	144	183
44	147	179
45	150	176
46	153	173
47	155	168
48	158	164
49	161	161
50	163	156
51	165	152
52	169	149
53	171	146
54	174	142
55	176	138
56	178	134
57	182	131
58	184	128
59	187	124
60	189	121
61	192	117
62	194	114
63	197	111
64	199	107
65	203	104
66	205	101
67	208	97
68	211	94
69	213	91
70	218	89
71	221	86
72	224	83
73	226	79
74	229	76
75	232	73
76	235	70
77	238	67
78	240	63
79	243	60
80	248	58
81	251	55
82	254	52
83	256	48
84	261	46
85	263	42
86	265	39
87	267	36
88	269	33
89	272	30
90	276	27
91	278	24
92	281	21
93	283	18
94	285	15
95	289	12
96	292	9
97	295	6
98	298	3
99	301	0
