iter	Passed	Remaining
0	87	86925
1	91	45483
2	97	32485
3	104	26082
4	107	21350
5	109	18131
6	115	16353
7	119	14836
8	122	13533
9	129	12796
10	132	11880
11	134	11089
12	137	10472
13	140	9890
14	147	9655
15	150	9257
16	153	8853
17	159	8691
18	162	8365
19	167	8204
20	174	8124
21	178	7918
22	180	7675
23	185	7528
24	190	7441
25	193	7238
26	195	7057
27	198	6877
28	200	6719
29	206	6675
30	209	6536
31	211	6401
32	214	6285
33	219	6237
34	225	6222
35	228	6109
36	230	6002
37	236	5991
38	239	5899
39	241	5804
40	244	5716
41	247	5639
42	253	5637
43	255	5554
44	258	5483
45	260	5407
46	266	5412
47	269	5354
48	272	5285
49	274	5222
50	278	5178
51	283	5175
52	286	5124
53	289	5067
54	291	5015
55	297	5009
56	299	4954
57	302	4906
58	304	4857
59	307	4812
60	312	4816
61	320	4852
62	323	4807
63	329	4813
64	333	4792
65	339	4805
66	345	4808
67	347	4763
68	350	4725
69	352	4685
70	355	4650
71	361	4659
72	368	4683
73	371	4646
74	376	4646
75	379	4609
76	381	4574
77	387	4580
78	394	4599
79	406	4670
80	408	4640
81	411	4606
82	412	4558
83	415	4526
84	421	4537
85	423	4504
86	426	4473
87	428	4443
88	434	4443
89	446	4516
90	453	4526
91	455	4494
92	457	4464
93	462	4462
94	468	4459
95	470	4429
96	474	4417
97	477	4395
98	484	4410
99	487	4384
100	500	4453
101	502	4428
102	505	4401
103	508	4377
104	512	4370
105	519	4381
106	521	4356
107	524	4332
108	530	4333
109	532	4306
110	534	4281
111	536	4257
112	547	4301
113	551	4285
114	553	4262
115	556	4241
116	565	4268
117	568	4249
118	571	4232
119	579	4249
120	582	4228
121	583	4201
122	587	4185
123	600	4238
124	602	4216
125	608	4219
126	610	4194
127	612	4173
128	615	4152
129	617	4132
130	626	4153
131	628	4132
132	630	4110
133	632	4090
134	638	4092
135	660	4197
136	663	4178
137	665	4158
138	671	4156
139	677	4159
140	679	4139
141	680	4113
142	686	4112
143	688	4093
144	690	4073
145	693	4053
146	695	4034
147	725	4176
148	728	4162
149	734	4161
150	737	4146
151	740	4129
152	743	4114
153	750	4122
154	752	4104
155	755	4087
156	758	4070
157	760	4051
158	774	4097
159	785	4123
160	787	4103
161	789	4085
162	792	4068
163	800	4080
164	802	4062
165	805	4044
166	807	4026
167	813	4026
168	815	4009
169	817	3992
170	820	3980
171	835	4020
172	837	4003
173	843	4002
174	845	3986
175	848	3971
176	850	3954
177	854	3946
178	861	3949
179	863	3933
180	865	3917
181	869	3909
182	876	3911
183	879	3902
184	882	3886
185	887	3885
186	890	3871
187	893	3858
188	896	3845
189	910	3881
190	914	3872
191	918	3866
192	921	3853
193	924	3839
194	926	3825
195	932	3825
196	935	3811
197	938	3800
198	940	3787
199	946	3784
200	970	3857
201	972	3843
202	978	3843
203	982	3834
204	985	3821
205	988	3808
206	995	3812
207	998	3800
208	1001	3790
209	1004	3777
210	1006	3764
211	1014	3770
212	1017	3757
213	1019	3744
214	1022	3734
215	1025	3721
216	1033	3729
217	1036	3716
218	1038	3702
219	1041	3691
220	1086	3830
221	1089	3817
222	1091	3803
223	1097	3800
224	1098	3785
225	1101	3770
226	1103	3756
227	1105	3742
228	1107	3729
229	1113	3727
230	1115	3713
231	1117	3700
232	1121	3691
233	1139	3730
234	1160	3776
235	1166	3775
236	1201	3868
237	1204	3854
238	1207	3843
239	1211	3835
240	1218	3838
241	1223	3831
242	1226	3819
243	1228	3806
244	1236	3811
245	1239	3799
246	1276	3890
247	1283	3890
248	1288	3885
249	1291	3875
250	1304	3893
251	1308	3883
252	1314	3881
253	1318	3872
254	1323	3867
255	1332	3872
256	1339	3871
257	1380	3970
258	1382	3955
259	1385	3942
260	1387	3929
261	1392	3922
262	1397	3916
263	1402	3909
264	1405	3897
265	1411	3894
266	1414	3884
267	1451	3965
268	1453	3950
269	1464	3959
270	1467	3948
271	1478	3956
272	1481	3945
273	1484	3932
274	1492	3934
275	1498	3929
276	1501	3920
277	1524	3960
278	1534	3965
279	1540	3961
280	1552	3973
281	1556	3963
282	1561	3957
283	1568	3953
284	1572	3944
285	1580	3945
286	1590	3950
287	1594	3943
288	1598	3932
289	1616	3957
290	1626	3962
291	1629	3949
292	1632	3940
293	1646	3953
294	1648	3940
295	1659	3947
296	1664	3939
297	1672	3939
298	1675	3928
299	1679	3918
300	1686	3915
301	1692	3910
302	1695	3899
303	1704	3903
304	1708	3894
305	1711	3881
306	1719	3881
307	1722	3869
308	1724	3857
309	1728	3846
310	1735	3844
311	1750	3859
312	1753	3848
313	1755	3835
314	1758	3824
315	1765	3820
316	1767	3807
317	1769	3794
318	1772	3783
319	1780	3784
320	1783	3772
321	1787	3764
322	1790	3752
323	1800	3756
324	1804	3747
325	1813	3748
326	1816	3739
327	1819	3727
328	1822	3716
329	1827	3709
330	1829	3698
331	1831	3686
332	1834	3674
333	1836	3662
334	1842	3658
335	1845	3647
336	1848	3637
337	1851	3625
338	1858	3622
339	1860	3611
340	1864	3603
341	1871	3600
342	1874	3590
343	1877	3580
344	1880	3569
345	1888	3570
346	1892	3561
347	1895	3550
348	1897	3539
349	1903	3534
350	1908	3528
351	1912	3519
352	1921	3521
353	1923	3510
354	1926	3500
355	1928	3489
356	1944	3502
357	1951	3499
358	1954	3489
359	1957	3480
360	1960	3469
361	1965	3464
362	1969	3455
363	1974	3450
364	1980	3445
365	1983	3435
366	1985	3425
367	1988	3415
368	1992	3407
369	1998	3403
370	2001	3393
371	2003	3383
372	2007	3374
373	2013	3370
374	2016	3360
375	2021	3354
376	2023	3344
377	2026	3335
378	2030	3327
379	2044	3334
380	2046	3325
381	2050	3317
382	2056	3313
383	2059	3303
384	2062	3294
385	2072	3297
386	2076	3289
387	2079	3280
388	2082	3270
389	2090	3269
390	2093	3260
391	2098	3255
392	2104	3249
393	2107	3241
394	2109	3231
395	2117	3229
396	2120	3221
397	2124	3212
398	2129	3208
399	2136	3204
400	2138	3195
401	2146	3193
402	2149	3183
403	2151	3174
404	2154	3164
405	2161	3161
406	2165	3155
407	2168	3146
408	2171	3137
409	2176	3132
410	2181	3126
411	2184	3117
412	2190	3113
413	2194	3106
414	2197	3097
415	2200	3088
416	2207	3086
417	2209	3076
418	2212	3067
419	2215	3058
420	2222	3056
421	2228	3052
422	2231	3043
423	2233	3034
424	2241	3033
425	2244	3024
426	2247	3015
427	2249	3006
428	2254	3000
429	2257	2992
430	2260	2983
431	2262	2975
432	2270	2973
433	2273	2965
434	2277	2957
435	2280	2949
436	2286	2945
437	2289	2937
438	2291	2928
439	2294	2919
440	2299	2914
441	2301	2905
442	2304	2897
443	2307	2889
444	2313	2884
445	2316	2877
446	2319	2869
447	2329	2870
448	2335	2866
449	2338	2858
450	2341	2850
451	2346	2845
452	2349	2837
453	2353	2830
454	2356	2822
455	2359	2814
456	2363	2808
457	2371	2806
458	2374	2799
459	2377	2791
460	2384	2788
461	2387	2780
462	2391	2773
463	2393	2765
464	2403	2764
465	2408	2760
466	2411	2752
467	2424	2755
468	2427	2748
469	2430	2740
470	2434	2734
471	2442	2731
472	2446	2725
473	2453	2722
474	2460	2719
475	2462	2711
476	2468	2706
477	2476	2704
478	2479	2696
479	2482	2689
480	2491	2688
481	2506	2693
482	2515	2692
483	2526	2693
484	2531	2687
485	2538	2684
486	2546	2682
487	2549	2674
488	2558	2673
489	2566	2671
490	2573	2667
491	2576	2660
492	2586	2660
493	2598	2661
494	2607	2660
495	2624	2666
496	2632	2663
497	2636	2657
498	2645	2656
499	2650	2650
500	2655	2644
501	2679	2658
502	2683	2651
503	2693	2651
504	2699	2646
505	2710	2646
506	2713	2638
507	2716	2630
508	2726	2629
509	2740	2633
510	2754	2636
511	2773	2643
512	2777	2636
513	2786	2635
514	2797	2634
515	2802	2629
516	2806	2622
517	2815	2620
518	2818	2612
519	2821	2604
520	2824	2596
521	2837	2598
522	2839	2590
523	2846	2585
524	2849	2578
525	2851	2569
526	2854	2562
527	2862	2559
528	2866	2552
529	2869	2544
530	2876	2541
531	2879	2533
532	2882	2525
533	2889	2521
534	2892	2513
535	2895	2506
536	2898	2498
537	2902	2492
538	2906	2485
539	2909	2478
540	2920	2478
541	2924	2470
542	2927	2464
543	2934	2459
544	2937	2452
545	2940	2444
546	2949	2442
547	2952	2434
548	2955	2427
549	2959	2421
550	2968	2419
551	2971	2411
552	2980	2409
553	2983	2402
554	2986	2394
555	2991	2388
556	2998	2384
557	3001	2377
558	3004	2369
559	3012	2367
560	3015	2359
561	3018	2352
562	3021	2345
563	3029	2342
564	3033	2335
565	3035	2327
566	3038	2320
567	3044	2315
568	3047	2308
569	3052	2302
570	3058	2297
571	3060	2290
572	3063	2283
573	3066	2275
574	3069	2268
575	3076	2264
576	3080	2258
577	3083	2251
578	3092	2248
579	3095	2241
580	3098	2234
581	3104	2229
582	3108	2223
583	3111	2216
584	3113	2208
585	3120	2204
586	3122	2197
587	3125	2189
588	3127	2182
589	3133	2177
590	3137	2171
591	3140	2164
592	3143	2157
593	3149	2152
594	3154	2147
595	3157	2140
596	3164	2135
597	3166	2128
598	3170	2122
599	3173	2115
600	3179	2110
601	3184	2105
602	3187	2098
603	3190	2091
604	3198	2088
605	3206	2085
606	3209	2077
607	3222	2077
608	3224	2070
609	3228	2063
610	3239	2062
611	3242	2055
612	3245	2048
613	3249	2042
614	3252	2035
615	3256	2030
616	3264	2026
617	3270	2021
618	3279	2018
619	3282	2012
620	3287	2006
621	3302	2006
622	3312	2004
623	3316	1998
624	3328	1996
625	3334	1992
626	3342	1988
627	3348	1983
628	3351	1976
629	3358	1972
630	3365	1967
631	3372	1964
632	3379	1959
633	3398	1961
634	3404	1957
635	3429	1962
636	3432	1956
637	3435	1949
638	3438	1942
639	3441	1936
640	3444	1929
641	3448	1923
642	3454	1918
643	3460	1912
644	3462	1905
645	3474	1903
646	3477	1897
647	3480	1890
648	3491	1888
649	3494	1881
650	3498	1875
651	3502	1869
652	3507	1864
653	3517	1860
654	3519	1853
655	3522	1847
656	3527	1841
657	3534	1836
658	3537	1830
659	3540	1823
660	3543	1817
661	3546	1810
662	3549	1804
663	3551	1797
664	3554	1790
665	3561	1785
666	3563	1779
667	3566	1772
668	3571	1767
669	3577	1762
670	3580	1755
671	3584	1749
672	3587	1742
673	3595	1738
674	3597	1732
675	3600	1725
676	3607	1721
677	3610	1714
678	3612	1707
679	3615	1701
680	3617	1694
681	3623	1689
682	3627	1683
683	3630	1677
684	3635	1671
685	3641	1666
686	3644	1660
687	3648	1654
688	3654	1649
689	3656	1642
690	3659	1636
691	3661	1629
692	3663	1623
693	3671	1619
694	3674	1612
695	3678	1606
696	3686	1602
697	3689	1596
698	3693	1590
699	3696	1584
700	3702	1579
701	3706	1573
702	3710	1567
703	3716	1562
704	3721	1557
705	3726	1551
706	3742	1551
707	3748	1546
708	3752	1539
709	3756	1534
710	3758	1527
711	3765	1522
712	3767	1516
713	3770	1510
714	3774	1504
715	3780	1499
716	3783	1493
717	3785	1486
718	3788	1480
719	3794	1475
720	3797	1469
721	3799	1463
722	3804	1457
723	3811	1453
724	3814	1446
725	3819	1441
726	3826	1436
727	3829	1430
728	3833	1425
729	3836	1418
730	3842	1413
731	3845	1407
732	3847	1401
733	3856	1397
734	3859	1391
735	3863	1385
736	3865	1379
737	3872	1374
738	3875	1368
739	3878	1362
740	3881	1356
741	3892	1353
742	3895	1347
743	3898	1341
744	3904	1336
745	3912	1332
746	3918	1327
747	3921	1321
748	3923	1314
749	3926	1308
750	3929	1302
751	3936	1298
752	3940	1292
753	3945	1287
754	3951	1282
755	3955	1276
756	3958	1270
757	3960	1264
758	3968	1260
759	3970	1253
760	3973	1247
761	3975	1241
762	3981	1236
763	3984	1230
764	3986	1224
765	3988	1218
766	3991	1212
767	3996	1207
768	4000	1201
769	4002	1195
770	4006	1190
771	4013	1185
772	4015	1179
773	4018	1173
774	4020	1167
775	4023	1161
776	4032	1157
777	4037	1152
778	4045	1147
779	4048	1141
780	4050	1135
781	4053	1130
782	4059	1125
783	4061	1119
784	4064	1113
785	4068	1107
786	4074	1102
787	4078	1097
788	4082	1091
789	4084	1085
790	4090	1080
791	4094	1075
792	4096	1069
793	4100	1063
794	4105	1058
795	4108	1052
796	4111	1047
797	4114	1041
798	4116	1035
799	4124	1031
800	4128	1025
801	4130	1019
802	4137	1014
803	4143	1010
804	4146	1004
805	4151	999
806	4154	993
807	4157	987
808	4159	982
809	4161	976
810	4168	971
811	4170	965
812	4175	960
813	4178	954
814	4185	950
815	4189	944
816	4192	939
